Date,Disease_Name,Cases,Deaths,Area,,,,
17 February 06,Chikungunya,1722,0,La Réunion,,,,
17 February 06,Chikungunya,206,0,Mauritius,,,,
17 February 06,Chikungunya,1255,0,Seychelles,,,,
17 March 06,Chikungunya,3115,0,La Réunion,,,,
17 March 06,Chikungunya,2833,0,Mayotte,,,,
17 March 06,Chikungunya,1200,0,Mauritius,,,,
17 March 06,Chikungunya,8818,0, Seychelles,,,,
17 March 06,Chikungunya,160,0,France,,,,
17 October 06,Chikungunya,125000,0,India,,,,
17 October 06,Chikungunya,258998,0,Maharashtra,,,,
19 October 06,Chikungunya,752245,0,Karnataka,,,,
10 December 13,Chikungunya,20,0,Saint Marchtin,,,,
23 October 14,Chikungunya,4,0,France,,,,
10 August 15,Chikungunya,1,0,Gandia,,,,
14 September 15,Chikungunya,10,0,Senegal,,,,
14 March 16,Chikungunya,27,0,Tartagal,,,,
14 March 16,Chikungunya,2,0,Apolinario Saravia,,,,
14 March 16,Chikungunya,43,0,Argentina,,,,
14 June 16,Chikungunya,1,0,Texas,,,,
9 August 16,Chikungunya,53,0,Somalia,,,,
9 August 16,Chikungunya,124,0,Mandera,,,,
9 August 16,Chikungunya,1792,0,Kenya,,,,
25 August 17,Chikungunya,4,0,France,,,,
15 September 17,Chikungunya,14,0,Italy,,,,
15 September 17,Chikungunya,6,0,Rome,,,,
29 September 17,Chikungunya,183,0,Italy,,,,
27 February 18,Chikungunya,453,0,Kenya,,,,
15 October 18,Chikungunya,4,0,Sudan,,,,
21 March 02,dengue,104469,40,Rio de Januaryeiro,,,,
8 May 02,dengue,95463,571,Rio de Januaryeiro,,,,
21 June 02,dengue,1200,0,El Salvador,,,,
12 July 02,dengue,1773,6,El Salvador,,,,
19 July 02,dengue,3993,8,Honduras,,,,
19 July 02,dengue,2249,6,El Salvador,,,,
16 August 02,dengue,5883,0,Ecuador,,,,
30 October 03,dengue,1723,0,Delhi,,,,
12 November 03,dengue,2185,0,Delhi,,,,
26 February 04,dengue,14626,260,Indonesia,,,,
5 March 04,dengue,23857,367,Indonesia,,,,
8 April 04,dengue,52013,603,Indonesia,,,,
11 May 04,dengue,58301,658,Indonesia,,,,
10 April 08,dengue,120570,647,Brazil,,,,
30 October 09,dengue,3367,0,Cape Verde,,,,
18 November 09,dengue,16744,0,Cape Verde,,,,
25 October 10,dengue,1500,15,Pakistan,,,,
17 October 12,dengue,18,0,Madeira,,,,
12 November 15,dengue,253,0,Egypt,,,,
25 February 16,dengue,1,0,Uruguay,,,,
10 March 16,dengue,570,0,Uruguay,,,,
18 November 16,dengue,1061,15, Burkina Faso,,,,
18 November 16,dengue,273,0,Ouagadougou,,,,
19 July 17,dengue,18186,70,Colombo,,,,
19 July 17,dengue,12121,100,Gampaha,,,,
19 July 17,dengue,4889,20,Kurunegala,,,,
19 July 17,dengue,4589,10,Kalutara,,,,
19 July 17,dengue,3946,7,Batticaloa,,,,
19 July 17,dengue,3898,5,Ratnapura,,,,
19 July 17,dengue,3853,3,Kandy,,,,
4 August 17,dengue,1,0,Côte d’Ivoire,,,,
6 November 17,dengue,9029,18,Burkina Faso,,,,
1 May 18,dengue,1816,0,Réunion,,,,
4 February 19,dengue,339,13,,,,,
27 November 17,Plague,23448,202,Madagascar,,,,
15 November 17,Plague,21197,171,Madagascar,,,,
2 November 17,Plague,1801,127,Madagascar,,,,
2 October 17,Plague,73,17,Madagascar,,,,
29 September 17,Plague,62,26,Madagascar,,,,
9 January 17,Plague,62,26,Madagascar,,,,
9 January 17,Plague,28,10,Befotaka,,,,
9 January 17,Plague,34,16,Atsimo-Atsinanana,,,,
6 September 15,Plague,14,10,Madagascar,,,,
21 November 14,Plague,119,40,Madagascar,,,,
10 August 10,Plague,17,0,Peru,,,,
11 August 09,Plague,12,0,China,,,,
7 November 06,Plague,117,50,Democratic Republic of the Congo,,,,
13 October 06,Plague,626,42,Democratic Republic of the Congo,,,,
14 June 06,Plague,100,19,Democratic Republic of the Congo,,,,
15 March 05,Plague,130,57,Democratic Republic of the Congo,,,,
3 9 05,Plague,114,54,Democratic Republic of the Congo,,,,
4 March 05,Plague,57,16,Oriental,,,,
1 March 05,Plague,4,1,Oriental,,,,
18 February 05,Plague,120,61,Oriental,,,,
10 July 03,Plague,10,0,Algeria,,,,
3 July 03,Plague,10,0,Algeria,,,,
5 June 02,Plague,71,0,Malawi,,,,
20 February 02,Plague,16,0,Himachal Pradesh,,,,
26 March 01,Plague,23,0,Eastern Province,,,,
26 May 17,Zika,3,0,Ahmedabad,,,,
22 April 16,Zika,6,0,Papua New Guinea,,,,
21 April 16,Zika,1,0,Peru,,,,
20 April 16,Zika,2,0,Saint Lucia,,,,
15 April 16,Zika,2,0,Chile,,,,
12 April 16,Zika,2,0,Vietnam,,,,
29 March 16,Zika,1,0,Cuba,,,,
7 March 16,Zika,1,0,Argentina,,,,
7 March 16,Zika,2,0,France,,,,
